Unnamed: 0,average_length(inches)),average_weight(ounces)),ph_of_water,life_span,idlewater,lakes,ponds,rivers,slowmovingwaters,Black_and_Orange,Calico,Green_and_Chocolate,Orange,Red_and_Silver,Red_and_White_Bi_Color,Reddish_Orange,White,Yellow,Female,Male
1805,17.19,13.38,6.2,5.2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
837,1.19,11.12,7.0,24.8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
700,3.54,8.47,6.6,8.3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
911,2.89,14.89,7.5,26.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1146,3.25,15.58,7.6,12.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1446,17.69,12.66,6.7,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1466,6.32,6.16,7.0,11.6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1956,12.17,13.22,6.3,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
933,6.68,7.68,6.3,10.8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1219,10.51,12.67,6.1,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1687,15.36,8.53,7.1,3.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1788,16.83,12.91,6.6,14.3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1303,16.07,15.12,7.7,17.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
1568,10.41,14.89,7.7,19.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1847,1.95,11.23,6.3,27.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
396,17.13,11.71,6.5,22.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
313,1.35,5.25,7.6,6.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1515,11.74,6.44,7.8,18.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
793,10.83,9.86,7.5,25.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1496,17.0,11.3,6.5,17.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
825,15.91,13.05,7.0,7.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1963,1.0,17.77,6.1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
571,4.96,14.66,6.4,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
398,7.6,11.54,6.2,11.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1754,11.17,17.88,6.3,4.5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
904,3.62,11.89,6.1,22.9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1314,11.32,14.25,7.2,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1963,3.91,15.55,6.5,4.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1419,3.56,13.18,6.9,18.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
974,11.2,15.78,7.4,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
334,3.52,17.0,7.4,19.6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
1320,14.37,14.17,6.7,15.8,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1
408,10.73,16.97,6.3,4.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1310,3.64,6.02,6.0,14.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
307,15.58,18.3,6.0,17.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
352,13.03,5.87,7.0,27.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1737,16.23,18.96,6.0,14.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1769,4.76,4.52,6.4,21.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
432,11.67,17.91,6.9,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1312,10.78,12.4,6.1,20.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1252,5.74,10.52,6.2,18.7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1584,8.16,5.7,6.3,18.2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
1344,16.88,6.05,6.9,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1924,13.21,18.96,7.1,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
623,4.11,8.7,7.6,13.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
917,17.26,4.14,7.5,10.4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1
1416,5.56,17.83,6.3,1.7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
897,12.22,4.68,6.5,20.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1516,15.92,11.81,7.8,5.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1227,10.28,11.09,6.9,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1489,12.52,17.16,7.3,20.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
418,1.0,4.05,6.3,11.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
415,11.49,8.63,6.3,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1382,4.01,12.12,6.4,11.7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
960,6.4,10.32,6.1,19.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
365,9.94,13.43,6.9,26.2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1
951,16.51,18.68,7.0,23.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1758,7.62,12.77,6.3,27.9,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
533,17.97,8.89,7.3,4.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
943,11.6,15.29,7.0,25.3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
559,13.93,10.83,6.0,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1879,3.13,18.96,7.0,11.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
1621,3.91,17.54,6.7,15.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1011,15.7,18.96,6.4,6.1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
1668,15.68,12.34,6.2,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1212,1.48,18.87,7.1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
616,15.21,14.98,6.0,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1513,7.9,16.36,6.6,17.5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
1660,4.34,11.27,6.9,3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1922,15.73,15.64,6.4,26.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1889,3.13,15.78,7.3,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1404,17.02,16.19,6.4,26.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
917,1.82,9.66,7.0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1092,12.93,14.53,7.6,17.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1013,17.39,10.33,6.3,15.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
815,12.42,12.09,6.9,9.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1575,1.79,10.45,7.0,9.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
262,12.63,17.42,7.3,27.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
950,4.54,8.03,7.6,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990,12.18,7.11,7.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1250,15.88,14.59,7.8,17.0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1
984,17.72,6.74,6.1,4.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
153,10.02,6.42,7.3,8.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1291,16.14,17.59,6.3,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
769,16.65,16.34,6.2,17.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1423,10.52,18.81,6.3,6.5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
882,1.48,15.39,6.1,17.6,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
384,8.29,5.5,7.3,18.6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
379,15.84,12.16,7.7,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
958,16.63,18.61,6.0,19.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
885,15.98,10.62,6.1,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1003,16.25,9.33,6.1,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,11.73,12.26,6.4,16.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1053,10.33,13.05,7.6,2.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1677,6.03,7.98,6.1,13.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1711,3.8,10.75,6.1,5.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1935,16.44,12.15,6.3,22.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1050,16.77,16.09,7.3,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1366,15.02,10.04,6.3,22.1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1871,17.91,18.52,7.4,14.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1294,4.92,11.17,6.2,25.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
890,12.57,5.52,6.2,22.1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
958,11.42,16.01,6.3,3.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
681,15.65,17.62,6.1,14.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
282,1.0,8.03,7.4,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
712,5.71,13.7,6.0,16.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
